seed,a_star,eps,vis,fr,rank,dropped,total_tries
41,0,0.1,100,0.02,3,0,28500
41,0,0.1,100,0.01,5,0,28500
41,0,0.1,100,0.005,7,0,28500
41,0,0.1,100,0.0025,7,0,28500
42,1,0.1,100,0.02,3,0,21000
42,1,0.1,100,0.01,3,0,21000
42,1,0.1,100,0.005,2,0,21000
42,1,0.1,100,0.0025,2,0,24000
43,0,0.1,100,0.02,5,0,24000
43,0,0.1,100,0.01,3,0,24000
43,0,0.1,100,0.005,6,0,24000
43,0,0.1,100,0.0025,5,0,24000
44,1,0.1,100,0.02,2,0,18000
44,1,0.1,100,0.01,3,0,22500
44,1,0.1,100,0.005,2,0,22500
44,1,0.1,100,0.0025,4,0,22500
45,2,0.1,100,0.02,3,0,22500
45,2,0.1,100,0.01,2,0,22500
45,2,0.1,100,0.005,5,0,22500
45,2,0.1,100,0.0025,5,0,19500
46,2,0.1,100,0.02,1,0,43500
46,2,0.1,100,0.01,9,0,24000
46,2,0.1,100,0.005,9,0,24000
46,2,0.1,100,0.0025,8,0,24000
47,2,0.1,100,0.02,4,0,30000
47,2,0.1,100,0.01,6,0,34500
47,2,0.1,100,0.005,6,0,34500
47,2,0.1,100,0.0025,9,0,34500
48,2,0.1,100,0.02,1,0,40500
48,2,0.1,100,0.01,1,0,40500
48,2,0.1,100,0.005,3,0,40500
48,2,0.1,100,0.0025,1,0,40500
49,3,0.1,100,0.02,2,0,31500
49,3,0.1,100,0.01,2,0,37500
49,3,0.1,100,0.005,6,0,31500
49,3,0.1,100,0.0025,10,0,31500
50,2,0.1,100,0.02,3,0,33000
50,2,0.1,100,0.01,6,0,25500
50,2,0.1,100,0.005,6,0,24000
50,2,0.1,100,0.0025,8,0,24000
51,3,0.1,100,0.02,2,0,28500
51,3,0.1,100,0.01,6,0,28500
51,3,0.1,100,0.005,5,0,28500
51,3,0.1,100,0.0025,4,0,28500
52,0,0.1,100,0.02,1,0,19500
52,0,0.1,100,0.01,1,0,19500
52,0,0.1,100,0.005,1,0,19500
52,0,0.1,100,0.0025,4,0,19500
53,2,0.1,100,0.02,3,0,48000
53,2,0.1,100,0.01,2,0,37500
53,2,0.1,100,0.005,5,0,37500
53,2,0.1,100,0.0025,8,0,37500
54,3,0.1,100,0.02,2,0,25500
54,3,0.1,100,0.01,2,0,25500
54,3,0.1,100,0.005,1,0,27000
54,3,0.1,100,0.0025,2,0,25500
55,3,0.1,100,0.02,1,0,30000
55,3,0.1,100,0.01,4,0,30000
55,3,0.1,100,0.005,1,0,30000
55,3,0.1,100,0.0025,4,0,30000
56,2,0.1,100,0.02,2,0,36000
