seed,a_star,eps,vis,fr,rank,dropped,total_tries
1,3,0.07,100,0.02,1,0,38700
1,3,0.07,100,0.01,4,0,33500
1,3,0.07,100,0.005,8,0,33500
1,3,0.07,100,0.0025,5,0,42500
2,2,0.07,100,0.02,2,0,45000
2,2,0.07,100,0.01,2,0,45000
2,2,0.07,100,0.005,6,0,44500
2,2,0.07,100,0.0025,6,0,59000
3,0,0.07,100,0.02,1,0,29500
3,0,0.07,100,0.01,1,0,29500
3,0,0.07,100,0.005,5,0,29500
3,0,0.07,100,0.0025,4,0,29000
4,3,0.07,100,0.02,3,0,31450
4,3,0.07,100,0.01,4,0,31450
4,3,0.07,100,0.005,5,0,22500
4,3,0.07,100,0.0025,8,0,22500
5,0,0.07,100,0.02,3,0,53000
5,0,0.07,100,0.01,3,0,53000
5,0,0.07,100,0.005,1,0,49000
5,0,0.07,100,0.0025,2,0,53000
6,1,0.07,100,0.02,2,0,26500
6,1,0.07,100,0.01,2,0,26500
6,1,0.07,100,0.005,3,0,26500
6,1,0.07,100,0.0025,3,0,26500
7,0,0.07,100,0.02,3,0,35500
7,0,0.07,100,0.01,4,0,36000
7,0,0.07,100,0.005,6,0,36000
7,0,0.07,100,0.0025,6,0,35500
8,3,0.07,100,0.02,1,0,45500
8,3,0.07,100,0.01,2,0,41000
8,3,0.07,100,0.005,2,0,41000
8,3,0.07,100,0.0025,2,0,41000
9,3,0.07,100,0.02,4,0,33500
9,3,0.07,100,0.01,8,0,33500
9,3,0.07,100,0.005,8,0,33500
9,3,0.07,100,0.0025,8,0,33500
10,0,0.07,100,0.02,2,0,49950
10,0,0.07,100,0.01,6,0,49500
10,0,0.07,100,0.005,2,0,34000
10,0,0.07,100,0.0025,6,0,49500
11,1,0.07,100,0.02,3,0,37650
11,1,0.07,100,0.01,5,0,36700
11,1,0.07,100,0.005,1,0,36500
11,1,0.07,100,0.0025,3,0,37000
12,1,0.07,100,0.02,4,0,52400
12,1,0.07,100,0.01,4,0,51500
12,1,0.07,100,0.005,4,0,51500
12,1,0.07,100,0.0025,4,0,52000
13,3,0.07,100,0.02,3,0,41500
13,3,0.07,100,0.01,4,0,37500
13,3,0.07,100,0.005,3,0,42000
13,3,0.07,100,0.0025,3,0,42000
14,0,0.07,100,0.02,1,0,38450
14,0,0.07,100,0.01,1,0,38000
14,0,0.07,100,0.005,2,0,25000
14,0,0.07,100,0.0025,3,0,25000
15,1,0.07,100,0.02,5,0,34500
15,1,0.07,100,0.01,6,0,34500
15,1,0.07,100,0.005,6,0,34500
15,1,0.07,100,0.0025,10,0,34500
16,3,0.07,100,0.02,1,0,25200
16,3,0.07,100,0.01,1,0,25500
16,3,0.07,100,0.005,1,0,25500
16,3,0.07,100,0.0025,1,0,25500
17,3,0.07,100,0.02,1,0,27000
17,3,0.07,100,0.01,3,0,27000
17,3,0.07,100,0.005,10,0,27000
17,3,0.07,100,0.0025,10,0,27000
18,2,0.07,100,0.02,4,0,53500
18,2,0.07,100,0.01,4,0,53000
18,2,0.07,100,0.005,4,0,53000
18,2,0.07,100,0.0025,4,0,53000
19,1,0.07,100,0.02,1,0,26000
19,1,0.07,100,0.01,1,0,26000
19,1,0.07,100,0.005,2,0,26000
19,1,0.07,100,0.0025,3,0,25500
20,0,0.07,100,0.02,5,0,53500
20,0,0.07,100,0.01,3,0,53500
20,0,0.07,100,0.005,3,0,53500
20,0,0.07,100,0.0025,4,0,53500
21,0,0.07,100,0.02,3,0,32000
21,0,0.07,100,0.01,6,0,32000
21,0,0.07,100,0.005,6,0,32000
21,0,0.07,100,0.0025,6,0,32000
22,2,0.07,100,0.02,3,0,36500
22,2,0.07,100,0.01,6,0,36500
22,2,0.07,100,0.005,10,0,36500
22,2,0.07,100,0.0025,5,0,38500
23,3,0.07,100,0.02,3,0,38500
23,3,0.07,100,0.01,4,0,49500
23,3,0.07,100,0.005,7,0,49500
23,3,0.07,100,0.0025,7,0,49500
24,0,0.07,100,0.02,3,0,42500
24,0,0.07,100,0.01,6,0,42500
24,0,0.07,100,0.005,10,0,42500
24,0,0.07,100,0.0025,6,0,42500
25,3,0.07,100,0.02,3,0,50000
25,3,0.07,100,0.01,3,0,41500
25,3,0.07,100,0.005,3,0,41500
25,3,0.07,100,0.0025,3,0,44500
26,3,0.07,100,0.02,1,0,43500
26,3,0.07,100,0.01,1,0,43450
26,3,0.07,100,0.005,5,0,43450
26,3,0.07,100,0.0025,4,0,43450
27,2,0.07,100,0.02,1,0,37000
27,2,0.07,100,0.01,1,0,37000
27,2,0.07,100,0.005,2,0,37000
27,2,0.07,100,0.0025,2,0,37000
28,2,0.07,100,0.02,3,0,36000
28,2,0.07,100,0.01,6,0,36000
28,2,0.07,100,0.005,6,0,36000
28,2,0.07,100,0.0025,6,0,40000
29,1,0.07,100,0.02,1,0,61450
29,1,0.07,100,0.01,1,0,61000
29,1,0.07,100,0.005,1,0,61000
29,1,0.07,100,0.0025,2,0,44000
30,2,0.07,100,0.02,4,0,55000
30,2,0.07,100,0.01,4,0,55000
30,2,0.07,100,0.005,1,0,60000
30,2,0.07,100,0.0025,2,0,60000
31,1,0.07,100,0.02,3,0,34500
31,1,0.07,100,0.01,5,0,34500
31,1,0.07,100,0.005,6,0,34500
31,1,0.07,100,0.0025,6,0,34500
32,3,0.07,100,0.02,4,0,56000
32,3,0.07,100,0.01,5,0,56000
32,3,0.07,100,0.005,4,0,56000
32,3,0.07,100,0.0025,5,0,27500
33,3,0.07,100,0.02,1,0,73000
33,3,0.07,100,0.01,6,0,92000
33,3,0.07,100,0.005,6,0,92000
33,3,0.07,100,0.0025,6,0,92000
34,3,0.07,100,0.02,1,0,34500
34,3,0.07,100,0.01,1,0,34500
34,3,0.07,100,0.005,1,0,34500
34,3,0.07,100,0.0025,4,0,34500
