class,seed,a_star,eps,vis,fr,rank,dropped
2,1,3,0.035,50,0.3,2,0
2,1,3,0.035,50,0.2,5,0
2,1,3,0.035,50,0.1,3,0
2,1,3,0.035,50,0.05,3,0
2,1,3,0.035,50,0.02,2,0
2,1,3,0.035,80,0.3,1,0
2,1,3,0.035,80,0.2,1,0
2,1,3,0.035,80,0.1,1,0
2,1,3,0.035,80,0.05,5,0
2,1,3,0.035,80,0.02,4,0
2,1,3,0.07,50,0.3,2,0
2,1,3,0.07,50,0.2,5,0
2,1,3,0.07,50,0.1,4,0
2,1,3,0.07,50,0.05,3,0
2,1,3,0.07,50,0.02,2,0
2,1,3,0.07,80,0.3,2,0
2,1,3,0.07,80,0.2,2,0
2,1,3,0.07,80,0.1,2,0
2,1,3,0.07,80,0.05,5,0
2,1,3,0.07,80,0.02,4,0
2,1,3,0.1,50,0.3,2,0
2,1,3,0.1,50,0.2,5,0
2,1,3,0.1,50,0.1,4,0
2,1,3,0.1,50,0.05,3,0
2,1,3,0.1,50,0.02,2,0
2,1,3,0.1,80,0.3,2,0
2,1,3,0.1,80,0.2,2,0
2,1,3,0.1,80,0.1,2,0
2,1,3,0.1,80,0.05,5,0
2,1,3,0.1,80,0.02,4,0
2,2,2,0.035,50,0.3,1,0
2,2,2,0.035,50,0.2,1,0
2,2,2,0.035,50,0.1,1,0
2,2,2,0.035,50,0.05,1,0
2,2,2,0.035,50,0.02,2,0
2,2,2,0.035,80,0.3,1,0
2,2,2,0.035,80,0.2,1,0
2,2,2,0.035,80,0.1,1,0
2,2,2,0.035,80,0.05,1,0
2,2,2,0.035,80,0.02,2,0
2,2,2,0.07,50,0.3,1,0
2,2,2,0.07,50,0.2,1,0
2,2,2,0.07,50,0.1,1,0
2,2,2,0.07,50,0.05,1,0
2,2,2,0.07,50,0.02,2,0
2,2,2,0.07,80,0.3,1,0
2,2,2,0.07,80,0.2,1,0
2,2,2,0.07,80,0.1,1,0
2,2,2,0.07,80,0.05,1,0
2,2,2,0.07,80,0.02,2,0
2,2,2,0.1,50,0.3,1,0
2,2,2,0.1,50,0.2,1,0
2,2,2,0.1,50,0.1,1,0
2,2,2,0.1,50,0.05,1,0
2,2,2,0.1,50,0.02,2,0
2,2,2,0.1,80,0.3,1,0
2,2,2,0.1,80,0.2,1,0
2,2,2,0.1,80,0.1,1,0
2,2,2,0.1,80,0.05,1,0
2,2,2,0.1,80,0.02,2,0
2,3,0,0.035,50,0.3,1,0
2,3,0,0.035,50,0.2,2,0
2,3,0,0.035,50,0.1,2,0
2,3,0,0.035,50,0.05,3,0
2,3,0,0.035,50,0.02,3,0
2,3,0,0.035,80,0.3,1,0
2,3,0,0.035,80,0.2,1,0
2,3,0,0.035,80,0.1,3,0
2,3,0,0.035,80,0.05,1,0
2,3,0,0.035,80,0.02,2,0
2,3,0,0.07,50,0.3,1,0
2,3,0,0.07,50,0.2,2,0
2,3,0,0.07,50,0.1,2,0
2,3,0,0.07,50,0.05,1,0
2,3,0,0.07,50,0.02,2,0
2,3,0,0.07,80,0.3,1,0
2,3,0,0.07,80,0.2,1,0
2,3,0,0.07,80,0.1,4,0
2,3,0,0.07,80,0.05,1,0
2,3,0,0.07,80,0.02,2,0
2,3,0,0.1,50,0.3,1,0
2,3,0,0.1,50,0.2,2,0
2,3,0,0.1,50,0.1,2,0
2,3,0,0.1,50,0.05,1,0
2,3,0,0.1,50,0.02,2,0
2,3,0,0.1,80,0.3,1,0
2,3,0,0.1,80,0.2,1,0
2,3,0,0.1,80,0.1,3,0
2,3,0,0.1,80,0.05,1,0
2,3,0,0.1,80,0.02,2,0
2,4,3,0.035,50,0.3,6,0
2,4,3,0.035,50,0.2,5,0
2,4,3,0.035,50,0.1,5,0
2,4,3,0.035,50,0.05,5,0
2,4,3,0.035,50,0.02,6,0
2,4,3,0.035,80,0.3,4,0
2,4,3,0.035,80,0.2,5,0
2,4,3,0.035,80,0.1,5,0
2,4,3,0.035,80,0.05,6,0
2,4,3,0.035,80,0.02,5,0
2,4,3,0.07,50,0.3,6,0
2,4,3,0.07,50,0.2,5,0
2,4,3,0.07,50,0.1,6,0
2,4,3,0.07,50,0.05,6,0
2,4,3,0.07,50,0.02,7,0
2,4,3,0.07,80,0.3,3,0
2,4,3,0.07,80,0.2,5,0
2,4,3,0.07,80,0.1,5,0
2,4,3,0.07,80,0.05,6,0
2,4,3,0.07,80,0.02,5,0
2,4,3,0.1,50,0.3,6,0
2,4,3,0.1,50,0.2,5,0
2,4,3,0.1,50,0.1,6,0
2,4,3,0.1,50,0.05,6,0
2,4,3,0.1,50,0.02,7,0
2,4,3,0.1,80,0.3,3,0
2,4,3,0.1,80,0.2,5,0
2,4,3,0.1,80,0.1,5,0
2,4,3,0.1,80,0.05,6,0
2,4,3,0.1,80,0.02,5,0
2,5,0,0.035,50,0.3,1,0
2,5,0,0.035,50,0.2,1,0
2,5,0,0.035,50,0.1,3,0
2,5,0,0.035,50,0.05,3,0
2,5,0,0.035,50,0.02,3,0
2,5,0,0.035,80,0.3,2,0
2,5,0,0.035,80,0.2,1,0
2,5,0,0.035,80,0.1,3,0
2,5,0,0.035,80,0.05,3,0
2,5,0,0.035,80,0.02,2,0
2,5,0,0.07,50,0.3,3,0
2,5,0,0.07,50,0.2,1,0
2,5,0,0.07,50,0.1,2,0
2,5,0,0.07,50,0.05,2,0
2,5,0,0.07,50,0.02,2,0
2,5,0,0.07,80,0.3,3,0
2,5,0,0.07,80,0.2,1,0
2,5,0,0.07,80,0.1,3,0
2,5,0,0.07,80,0.05,3,0
2,5,0,0.07,80,0.02,2,0
2,5,0,0.1,50,0.3,3,0
2,5,0,0.1,50,0.2,1,0
2,5,0,0.1,50,0.1,2,0
2,5,0,0.1,50,0.05,2,0
2,5,0,0.1,50,0.02,2,0
2,5,0,0.1,80,0.3,3,0
2,5,0,0.1,80,0.2,1,0
2,5,0,0.1,80,0.1,3,0
2,5,0,0.1,80,0.05,3,0
2,5,0,0.1,80,0.02,2,0
2,6,1,0.035,50,0.3,1,0
2,6,1,0.035,50,0.2,1,0
2,6,1,0.035,50,0.1,1,0
2,6,1,0.035,50,0.05,1,0
2,6,1,0.035,50,0.02,1,0
2,6,1,0.035,80,0.3,1,0
2,6,1,0.035,80,0.2,1,0
2,6,1,0.035,80,0.1,1,0
2,6,1,0.035,80,0.05,1,0
2,6,1,0.035,80,0.02,1,0
2,6,1,0.07,50,0.3,1,0
2,6,1,0.07,50,0.2,1,0
2,6,1,0.07,50,0.1,1,0
2,6,1,0.07,50,0.05,1,0
2,6,1,0.07,50,0.02,3,0
2,6,1,0.07,80,0.3,1,0
2,6,1,0.07,80,0.2,1,0
2,6,1,0.07,80,0.1,1,0
2,6,1,0.07,80,0.05,1,0
2,6,1,0.07,80,0.02,3,0
2,6,1,0.1,50,0.3,1,0
2,6,1,0.1,50,0.2,1,0
2,6,1,0.1,50,0.1,1,0
2,6,1,0.1,50,0.05,1,0
2,6,1,0.1,50,0.02,3,0
2,6,1,0.1,80,0.3,1,0
2,6,1,0.1,80,0.2,1,0
2,6,1,0.1,80,0.1,1,0
2,6,1,0.1,80,0.05,1,0
2,6,1,0.1,80,0.02,3,0
2,7,0,0.035,50,0.3,8,0
2,7,0,0.035,50,0.2,8,0
2,7,0,0.035,50,0.1,9,0
2,7,0,0.035,50,0.05,6,0
2,7,0,0.035,50,0.02,9,0
2,7,0,0.035,80,0.3,6,0
2,7,0,0.035,80,0.2,6,0
2,7,0,0.035,80,0.1,4,0
2,7,0,0.035,80,0.05,1,0
2,7,0,0.035,80,0.02,4,0
2,7,0,0.07,50,0.3,8,0
2,7,0,0.07,50,0.2,8,0
2,7,0,0.07,50,0.1,5,0
2,7,0,0.07,50,0.05,7,0
2,7,0,0.07,50,0.02,8,0
2,7,0,0.07,80,0.3,6,0
2,7,0,0.07,80,0.2,6,0
2,7,0,0.07,80,0.1,7,0
2,7,0,0.07,80,0.05,3,0
2,7,0,0.07,80,0.02,8,0
2,7,0,0.1,50,0.3,8,0
2,7,0,0.1,50,0.2,8,0
2,7,0,0.1,50,0.1,5,0
2,7,0,0.1,50,0.05,7,0
2,7,0,0.1,50,0.02,8,0
2,7,0,0.1,80,0.3,6,0
2,7,0,0.1,80,0.2,6,0
2,7,0,0.1,80,0.1,7,0
2,7,0,0.1,80,0.05,3,0
2,7,0,0.1,80,0.02,8,0
2,8,3,0.035,50,0.3,1,0
2,8,3,0.035,50,0.2,2,0
2,8,3,0.035,50,0.1,1,0
2,8,3,0.035,50,0.05,1,0
2,8,3,0.035,50,0.02,1,0
2,8,3,0.035,80,0.3,1,0
2,8,3,0.035,80,0.2,1,0
2,8,3,0.035,80,0.1,1,0
2,8,3,0.035,80,0.05,1,0
2,8,3,0.035,80,0.02,1,0
2,8,3,0.07,50,0.3,1,0
2,8,3,0.07,50,0.2,2,0
2,8,3,0.07,50,0.1,1,0
2,8,3,0.07,50,0.05,1,0
2,8,3,0.07,50,0.02,1,0
2,8,3,0.07,80,0.3,1,0
2,8,3,0.07,80,0.2,1,0
2,8,3,0.07,80,0.1,1,0
2,8,3,0.07,80,0.05,1,0
2,8,3,0.07,80,0.02,1,0
2,8,3,0.1,50,0.3,1,0
2,8,3,0.1,50,0.2,2,0
2,8,3,0.1,50,0.1,1,0
2,8,3,0.1,50,0.05,1,0
2,8,3,0.1,50,0.02,1,0
2,8,3,0.1,80,0.3,1,0
2,8,3,0.1,80,0.2,1,0
2,8,3,0.1,80,0.1,1,0
2,8,3,0.1,80,0.05,1,0
2,8,3,0.1,80,0.02,1,0
2,9,3,0.035,50,0.3,4,0
2,9,3,0.035,50,0.2,4,0
2,9,3,0.035,50,0.1,4,0
2,9,3,0.035,50,0.05,4,0
2,9,3,0.035,50,0.02,4,0
2,9,3,0.035,80,0.3,4,0
2,9,3,0.035,80,0.2,4,0
2,9,3,0.035,80,0.1,4,0
2,9,3,0.035,80,0.05,4,0
2,9,3,0.035,80,0.02,4,0
2,9,3,0.07,50,0.3,4,0
2,9,3,0.07,50,0.2,4,0
2,9,3,0.07,50,0.1,4,0
2,9,3,0.07,50,0.05,5,0
2,9,3,0.07,50,0.02,4,0
2,9,3,0.07,80,0.3,4,0
2,9,3,0.07,80,0.2,4,0
2,9,3,0.07,80,0.1,4,0
2,9,3,0.07,80,0.05,4,0
2,9,3,0.07,80,0.02,4,0
2,9,3,0.1,50,0.3,4,0
2,9,3,0.1,50,0.2,4,0
2,9,3,0.1,50,0.1,4,0
2,9,3,0.1,50,0.05,5,0
2,9,3,0.1,50,0.02,4,0
2,9,3,0.1,80,0.3,4,0
2,9,3,0.1,80,0.2,4,0
2,9,3,0.1,80,0.1,4,0
2,9,3,0.1,80,0.05,4,0
2,9,3,0.1,80,0.02,4,0
2,10,0,0.035,50,0.3,8,0
2,10,0,0.035,50,0.2,7,0
2,10,0,0.035,50,0.1,4,0
2,10,0,0.035,50,0.05,5,0
2,10,0,0.035,50,0.02,6,0
2,10,0,0.035,80,0.3,2,0
2,10,0,0.035,80,0.2,2,0
2,10,0,0.035,80,0.1,2,0
2,10,0,0.035,80,0.05,2,0
2,10,0,0.035,80,0.02,2,0
2,10,0,0.07,50,0.3,8,0
2,10,0,0.07,50,0.2,7,0
2,10,0,0.07,50,0.1,2,0
2,10,0,0.07,50,0.05,5,0
2,10,0,0.07,50,0.02,6,0
2,10,0,0.07,80,0.3,2,0
2,10,0,0.07,80,0.2,2,0
2,10,0,0.07,80,0.1,2,0
2,10,0,0.07,80,0.05,2,0
2,10,0,0.07,80,0.02,2,0
2,10,0,0.1,50,0.3,8,0
2,10,0,0.1,50,0.2,7,0
2,10,0,0.1,50,0.1,2,0
2,10,0,0.1,50,0.05,5,0
2,10,0,0.1,50,0.02,6,0
2,10,0,0.1,80,0.3,2,0
2,10,0,0.1,80,0.2,2,0
2,10,0,0.1,80,0.1,2,0
2,10,0,0.1,80,0.05,2,0
2,10,0,0.1,80,0.02,2,0
3,51,0,0.035,50,0.3,5,0
3,51,0,0.035,50,0.2,8,0
3,51,0,0.035,50,0.1,5,0
3,51,0,0.035,50,0.05,4,0
3,51,0,0.035,50,0.02,4,0
3,51,0,0.035,80,0.3,5,0
3,51,0,0.035,80,0.2,3,0
3,51,0,0.035,80,0.1,3,0
3,51,0,0.035,80,0.05,5,0
3,51,0,0.035,80,0.02,4,0
3,51,0,0.07,50,0.3,2,0
3,51,0,0.07,50,0.2,8,0
3,51,0,0.07,50,0.1,6,0
3,51,0,0.07,50,0.05,4,0
3,51,0,0.07,50,0.02,3,0
3,51,0,0.07,80,0.3,2,0
3,51,0,0.07,80,0.2,3,0
3,51,0,0.07,80,0.1,3,0
3,51,0,0.07,80,0.05,5,0
3,51,0,0.07,80,0.02,3,0
3,51,0,0.1,50,0.3,2,0
3,51,0,0.1,50,0.2,8,0
3,51,0,0.1,50,0.1,6,0
3,51,0,0.1,50,0.05,4,0
3,51,0,0.1,50,0.02,3,0
3,51,0,0.1,80,0.3,2,0
