method,visibility,n,avg_rank,top1,top2,top3,avg_time_sec,total_time_sec
Known fault rate,20,58,2.293103448275862,0.4827586206896552,0.6896551724137931,0.8275862068965517,13.131034974394174,761.6000285148621
Unknown fault rate,20,58,2.206896551724138,0.6206896551724138,0.7068965517241379,0.7931034482758621,55.60857438630071,3225.2973144054413
Known fault rate,40,58,1.9655172413793103,0.5517241379310345,0.7758620689655172,0.8448275862068966,22.73190314605318,1318.4503824710846
Unknown fault rate,40,58,1.7413793103448276,0.6551724137931034,0.8620689655172413,0.9137931034482759,97.85403794666817,5675.5342009067535
Known fault rate,60,58,1.5172413793103448,0.6896551724137931,0.896551724137931,0.9655172413793104,34.17586010900037,1982.1998863220215
Unknown fault rate,60,58,1.4655172413793103,0.7068965517241379,0.9137931034482759,0.9655172413793104,146.9041750883234,8520.442155122757
Known fault rate,80,58,1.5172413793103448,0.7068965517241379,0.896551724137931,0.9655172413793104,45.474993270019006,2637.5496096611023
Unknown fault rate,80,58,1.4310344827586208,0.7413793103448276,0.9137931034482759,0.9482758620689655,196.09763697920175,11373.662944793701
Known fault rate,100,58,1.2413793103448276,0.7931034482758621,0.9655172413793104,1.0,57.42137885915822,3330.4399738311768
Unknown fault rate,100,58,1.293103448275862,0.7758620689655172,0.9655172413793104,0.9655172413793104,246.66108588514658,14306.342981338501
