domain,variant,visibility,n,mean_rank,mean_time
Cross0.5,full,20.0,78,3.1025641025641026,180.95223553975424
Cross0.5,full,40.0,78,2.371794871794872,369.91426260960407
Cross0.5,full,60.0,78,2.0256410256410255,603.1839219973638
Cross0.5,full,80.0,78,1.6282051282051282,829.6707249513039
Cross0.5,full,100.0,78,1.4102564102564104,1085.1530985282018
Cross0.5,known,20.0,78,3.076923076923077,18.894542321180687
Cross0.5,known,40.0,78,2.2948717948717947,38.80295625099769
Cross0.5,known,60.0,78,1.8333333333333333,62.739160488813354
Cross0.5,known,80.0,78,1.4487179487179487,85.78042925626804
Cross0.5,known,100.0,78,1.2435897435897436,110.65847952549274
Cross0.5,v1,20.0,78,3.5,24.616837859153748
Cross0.5,v1,40.0,78,3.2435897435897436,34.41728719381186
Cross0.5,v1,60.0,78,3.1025641025641026,45.04204750061035
Cross0.5,v1,80.0,78,2.782051282051282,54.60787728199592
Cross0.5,v1,100.0,78,2.141025641025641,63.42344753864484
Cross0.7,full,20.0,78,1.9871794871794872,127.91525540596399
Cross0.7,full,40.0,78,1.8333333333333333,252.41206450034412
Cross0.7,full,60.0,78,1.5897435897435896,381.8038543065389
Cross0.7,full,80.0,78,1.3205128205128205,569.7591832478842
Cross0.7,full,100.0,78,1.1666666666666667,716.230164206945
Cross0.7,known,20.0,78,2.1153846153846154,16.063377001346687
Cross0.7,known,40.0,78,1.858974358974359,31.663244054867672
Cross0.7,known,60.0,78,1.6025641025641026,49.83367166763697
Cross0.7,known,80.0,78,1.358974358974359,66.22394333435939
Cross0.7,known,100.0,78,1.1025641025641026,84.72089262803395
Cross0.7,v1,20.0,78,2.576923076923077,20.724125785705372
Cross0.7,v1,40.0,78,2.2051282051282053,28.13753486596621
Cross0.7,v1,60.0,78,2.1025641025641026,36.49975084647154
Cross0.7,v1,80.0,78,2.0256410256410255,43.45589427764599
Cross0.7,v1,100.0,78,1.8205128205128205,51.44260473434742
Empty0.5,full,20.0,78,3.6025641025641026,99.56319466004005
Empty0.5,full,40.0,78,3.5384615384615383,151.58773752359244
Empty0.5,full,60.0,78,2.782051282051282,216.4861444540513
Empty0.5,full,80.0,78,2.448717948717949,288.17359345998517
Empty0.5,full,100.0,78,2.3076923076923075,363.97807721908276
Empty0.5,known,20.0,78,3.4358974358974357,10.169716550753666
Empty0.5,known,40.0,78,3.41025641025641,16.936357605151642
Empty0.5,known,60.0,78,2.730769230769231,23.964484193386177
Empty0.5,known,80.0,78,2.448717948717949,32.38772639555809
Empty0.5,known,100.0,78,2.230769230769231,40.408165855285446
Empty0.5,v1,20.0,78,3.923076923076923,12.231895556816688
Empty0.5,v1,40.0,78,3.8461538461538463,15.186369581100267
Empty0.5,v1,60.0,78,3.1794871794871793,18.69160759449005
Empty0.5,v1,80.0,78,2.9743589743589745,22.48890616954901
Empty0.5,v1,100.0,78,2.9358974358974357,24.712763168872932
Taxi,full,20.0,100,4.14,30.669894104003905
Taxi,full,40.0,100,3.24,51.79178512811661
Taxi,full,60.0,100,2.75,72.43847057580948
Taxi,full,80.0,100,2.26,91.41202443599701
Taxi,full,100.0,100,1.76,111.52976014614106
Taxi,known,20.0,100,4.05,3.2070135498046874
Taxi,known,40.0,100,3.46,5.5334661984443665
Taxi,known,60.0,100,2.94,7.797502369880676
Taxi,known,80.0,100,2.38,9.861627399921417
Taxi,known,100.0,100,1.83,12.001283662319183
Taxi,v1,20.0,100,4.46,5.510968775749206
Taxi,v1,40.0,100,3.63,5.889769940376282
Taxi,v1,60.0,100,3.15,6.471976909637451
Taxi,v1,80.0,100,2.32,7.077281665802002
Taxi,v1,100.0,100,1.75,7.796691837310791
